Course_Title,Degree_Level,Course_Domain,Start_Date,End_Date,Course_Link
BSc (Hons) Global Development with the Environment with a Placement Year,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-global-development-with-the-environment-with-a-placement-year
BSc (Hons) Global Development with the Environment,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-global-development-with-the-environment
BSc (Hons) Geophysics with a Placement Year,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-geophysics-with-a-placement-year
BSc (Hons) Geology with Geography with a Placement Year,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-geology-with-geography-with-a-placement-year
BSc (Hons) Geology with Geography,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-geology-with-geography
BSc (Hons) Geography with a Placement Year,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-geography-with-a-placement-year
BSc (Hons) Geography,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-geography
BSc (Hons) Environmental Sciences with a Placement Year,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-environmental-sciences-with-a-placement-year
BSc (Hons) Environmental Sciences with a Foundation Year,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-environmental-sciences-with-a-foundation-year
BSc (Hons) Environmental Sciences,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-environmental-sciences
BSc (Hons) Economics with Accountancy with a Year Abroad,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-economics-with-accountancy-with-a-year-abroad
BSc (Hons) Economics with Accountancy with a Placement Year,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-economics-with-accountancy-with-a-placement-year
BSc (Hons) Economics with Accountancy,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-economics-with-accountancy
BSc (Hons) Economics with a Year Abroad,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-economics-with-a-year-abroad
BSc (Hons) Economics with a Placement Year,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-economics-with-a-placement-year
"BSc (Hons) Economics, Behaviour and Data Science with a Year Abroad",UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/bsc-economics-behaviour-and-data-science-with-a-year-abroad
"BSc (Hons) Economics, Behaviour and Data Science with a Placement Year",UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/bsc-economics-behaviour-and-data-science-with-a-placement-year
"BSc (Hons) Economics, Behaviour and Data Science",UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/bsc-economics-behaviour-and-data-science
BSc (Hons) Economics and Finance with a Year Abroad,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-economics-and-finance-with-a-year-abroad
BSc (Hons) Economics and Finance with a Placement Year,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-economics-and-finance-with-a-placement-year
