Course_Title,Degree_Type,Attendance_Mode,Start_Date,Course_Link
Cybersecurity MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, Oct 2024, Feb 2025",https://www1.chester.ac.uk/study/postgraduate/cybersecurity-conversion
"Dance MA / PGDip , MA / PGDip / PGCert",MA / PGDip / PGCert,"Full-time - MA / PGDip, Part-time - MA / PGDip / PGCert",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/dance
Data Science MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/data-science
Degree in Professional Policing BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/degree-professional-policing
Design MA,MA,"Full-time - MA, Part-time - MA",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/design
Diabetes MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, Oct 2024, Feb 2025",https://www1.chester.ac.uk/study/postgraduate/diabetes
Digital Marketing BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Full-time with Placement Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/digital-marketing
"Digital Marketing MSc, PGDip, PGCert",PGCert,"Full-time - MSc, Part-time - MSc, Full-time - PGDip, Part-time - PGDip, Part-time - PGCert","Feb 2024, May 2024, Oct 2024, Feb 2025, May 2025",https://www1.chester.ac.uk/study/postgraduate/digital-marketing
Doctor of Business Administration DBA,DBA,Part-time - DBA,Oct 2024,https://www1.chester.ac.uk/study/postgraduate/doctor-business-administration
Doctor of Education (EdD) EdD,EdD,Part-time - EdD,Oct 2024,https://www1.chester.ac.uk/study/postgraduate/doctor-education-edd
Doctor of Professional Studies (DProf) in Health and Social Care DProf,DProf,Part-time - DProf,Oct 2024,https://www1.chester.ac.uk/study/postgraduate/doctor-professional-studies-dprof-health-and-social-care
Doctor of Professional Studies (DProf) in Theology and Religious Studies DProf,DProf,"Full-time - DProf, Part-time - DProf",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/doctor-professional-studies-dprof-theology-and-religious-studies
Doctor of Professional Studies in Counselling and Psychotherapy Studies DProf,DProf,Part-time - DProf,Oct 2024,https://www1.chester.ac.uk/study/postgraduate/doctor-professional-studies-counselling-and-psychotherapy-studies
Doctor of Professional Studies in Negotiated Management Specialism DProf,DProf,Part-time - DProf,Oct 2024,https://www1.chester.ac.uk/study/postgraduate/doctor-professional-studies-negotiated-management-specialism
Doctor of Professional Studies in Psychological Trauma DProf,DProf,Part-time - DProf,Oct 2024,https://www1.chester.ac.uk/study/postgraduate/doctor-professional-studies-psychological-trauma
Drama BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/drama
Drama (Combined) BA (Hons),BA (Hons),Full-time - BA (Hons),Sep 2024,https://www1.chester.ac.uk/study/undergraduate/drama-combined
Drama MA,MA,"Full-time - MA, Part-time - MA",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/drama
Drama and English Literature BA (Hons),BA (Hons),Full-time - BA (Hons),Sep 2024,https://www1.chester.ac.uk/study/undergraduate/drama-and-english-literature
Drama and Psychology BA (Hons),BA (Hons),Full-time - BA (Hons),Sep 2024,https://www1.chester.ac.uk/study/undergraduate/drama-and-psychology
"Dyscalculia Research and Practice MA, PGDip",PGDip,"Part-time - MA, Part-time - PGDip",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/dyscalculia-research-and-practice
"Dyslexia Research and Practice MA, PGDip, PGCert",PGCert,"Part-time - MA, Part-time - PGDip, Part-time - PGCert",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/dyslexia-research-and-practice
Early Childhood and Primary Education BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/early-childhood-and-primary-education
Early Years - Primary Education (3-7) with QTS - Teacher Education BA (Hons),BA (Hons),Full-time - BA (Hons),Sep 2024,https://www1.chester.ac.uk/study/undergraduate/early-years-primary-education-3-7-qts-teacher-education
Economics BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/economics
Economics (Combined) BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/economics-combined
Economics and Geography,NA,Full-time,"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/economics-and-geography
Economics and International Relations,NA,Full-time,"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/economics-and-international-relations
Economics and Politics,NA,Full-time,"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/economics-and-politics
Economics and Sociology,BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/economics-and-sociology
Economics and Spanish,NA,Full-time,"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/economics-and-spanish
Education BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/education
"Education MA, PGDip, PGCert",PGCert,"Part-time - MA, Part-time - PGDip, Part-time - PGCert","Jan 2024, Sep 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/education
"Education (Creative Practices) MA, PGDip",PGDip,"Part-time - MA, Part-time - PGDip","Jan 2024, Sep 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/education-creative-practices
"Education (Early Childhood) MA, PGDip",PGDip,"Part-time - MA, Part-time - PGDip","Jan 2024, Sep 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/education-early-childhood
