Course_Title,Degree_Level,Attendance_Mode,Course_Link
English with Creative Writing BA,Undergraduate,3 years full-time; 4 years full-time ; 4.5-6 years part-time,https://www.brunel.ac.uk/study/undergraduate/english-with-creative-writing-ba
English@Brunel,Pre-sessional,,https://www.brunel.ac.uk/study/undergraduate/englishatbrunel
Environment and Health PhD,PhD & Research,3 years full-time,https://www.brunel.ac.uk/study/postgraduate/phd-environment-and-health
Environmental Management MRes,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/environmental-management-mres
Environmental Management MSc,Postgraduate,1 year full-time; 18 months full-time ; 24 months part-time; 15 months full-time; 21 months full-time,https://www.brunel.ac.uk/study/postgraduate/environmental-management-msc
Environmental Sciences BSc,Undergraduate,3 years full-time; 3 years full-time compressed-sandwich; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/environmental-sciences-bsc
Environmental Sciences MRes,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/environmental-sciences-mres
Environmental Sciences MSci,Undergraduate,4 years full-time; 4 years full-time compressed-sandwich; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/environmental-sciences-msci
Environmental Sciences PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-environmental-science
Film and Television Studies and English BA,Undergraduate,3 years full-time; 4 years full-time ; 6 years part-time,https://www.brunel.ac.uk/study/undergraduate/film-and-television-studies-and-english-ba
Film and Television Studies BA,Undergraduate,3 years full-time; 4 years full-time ; 6 years part-time,https://www.brunel.ac.uk/study/undergraduate/film-and-television-studies-ba
Film Production and Theatre BA,Undergraduate,3 years full-time; 4 years full-time ; 6 years part-time,https://www.brunel.ac.uk/study/undergraduate/film-production-and-theatre-ba
Film Production BA,Undergraduate,3 years full-time; 4 years full-time ; 6 years part-time,https://www.brunel.ac.uk/study/undergraduate/film-production-ba
Finance and Accounting BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/finance-and-accounting-bsc
Finance and Accounting MSc,Postgraduate,1 year full-time; 16 months full-time ; 2 years full-time,https://www.brunel.ac.uk/study/postgraduate/finance-and-accounting-msc
Finance and Investment MSc,Postgraduate,1 year full-time; 16 months full-time ; 2 years full-time,https://www.brunel.ac.uk/study/postgraduate/finance-and-investment-msc
Financial Markets CPD,CPD,,https://www.brunel.ac.uk/study/postgraduate/financial-markets-cpd
Financial Mathematics BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/financial-mathematics-bsc
Financial Mathematics MMath,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/financial-mathematics-mmath
Financial Mathematics MSc,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/financial-mathematics-msc
Flood and Coastal Engineering (with Infrastructure Design) MSc,Postgraduate,1 year full-time; 14 months full-time; 2 or 3 years part-time,https://www.brunel.ac.uk/study/postgraduate/flood-and-coastal-engineering-with-infrastructure-design-msc
Flood and Coastal Engineering (with Project Risk Management) MSc,Postgraduate,1 year full-time; 14 months full-time; 2 or 3 years part-time,https://www.brunel.ac.uk/study/postgraduate/flood-and-coastal-engineering-with-project-risk-management-msc
Games Design and Creative Writing BA,Undergraduate,3 years full-time,https://www.brunel.ac.uk/study/undergraduate/games-design-and-creative-writing-ba
Games Design BA,Undergraduate,3 years full-time,https://www.brunel.ac.uk/study/undergraduate/games-design-ba
Games Design PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/games-design-phd
Geography BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/geography-bsc
Global Challenges (Global Innovation) BASc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/global-challenges-global-innovation-basc
Global Challenges (Planetary Health) BASc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/global-challenges-planetary-health-basc
Global Challenges (Security) BASc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/global-challenges-security-basc
Global Challenges (Social Cohesion) BASc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/global-challenges-social-cohesion-basc
Global Challenges PhD,PhD & Research,3 years full-time,https://www.brunel.ac.uk/study/postgraduate/phd-global-challenges
Global Supply Chain Management MSc (Brunel Business School),Postgraduate,1 year full-time; 15 months full-time,https://www.brunel.ac.uk/study/postgraduate/global-supply-chain-management-msc
Health Economics PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-health-economics
Health Sciences Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/health-sciences-integrated-phd
History and International Relations BA,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/history-and-international-relations-ba
History BA,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/history-ba
Human Geography and Anthropology BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/human-geography-and-anthropology-bsc
"Human Performance, Exercise and Rehabilitation PhD",PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/human-performance-exercise-and-rehabilitation-phd
Human Resource Management BSc (Brunel Business School),Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/human-resource-management-bsc
